full_text,case_folding,tokens,normalized,stopword_removal,stemming
Adapt or die Bitcoin JasonPLowery,adapt or die bitcoin jasonplowery,"['adapt', 'or', 'die', 'bitcoin', 'jasonplowery']","['adapt', 'orang', 'die', 'bitcoin', 'jasonplowery']","['adapt', 'orang', 'die', 'bitcoin', 'jasonplowery']","['adapt', 'orang', 'die', 'bitcoin', 'jasonplowery']"
Bitcoin Mandala of mahogany amp karat gold leaf,bitcoin mandala of mahogany amp karat gold leaf,"['bitcoin', 'mandala', 'of', 'mahogany', 'amp', 'karat', 'gold', 'leaf']","['bitcoin', 'mandala', 'of', 'mahogany', 'amp', 'karat', 'gold', 'leaf']","['bitcoin', 'mandala', 'mahogany', 'amp', 'karat', 'gold', 'leaf']","['bitcoin', 'mandala', 'mahogany', 'amp', 'karat', 'gold', 'leaf']"
HALKARZ ANLIK gen,halkarz anlik gen,"['halkarz', 'anlik', 'gen']","['halkarz', 'anlik', 'gen']","['halkarz', 'anlik', 'gen']","['halkarz', 'anlik', 'gen']"
K GAP,k gap,"['k', 'gap']","['ke', 'gap']",['gap'],['gap']
Solana records fifth straight week of DEX volume decline Pasti banyak nih yang panik saat volume DEX Solana turun Apalagi sampe minggu berturut turut Tapi mereka juga panik waktu Bitcoin jatuh di Sekarang Mereka pasti nyeselin banget dan berharap beli lebih banyak,solana records fifth straight week of dex volume decline pasti banyak nih yang panik saat volume dex solana turun apalagi sampe minggu berturut turut tapi mereka juga panik waktu bitcoin jatuh di sekarang mereka pasti nyeselin banget dan berharap beli lebih banyak,"['solana', 'records', 'fifth', 'straight', 'week', 'of', 'dex', 'volume', 'decline', 'pasti', 'banyak', 'nih', 'yang', 'panik', 'saat', 'volume', 'dex', 'solana', 'turun', 'apalagi', 'sampe', 'minggu', 'berturut', 'turut', 'tapi', 'mereka', 'juga', 'panik', 'waktu', 'bitcoin', 'jatuh', 'di', 'sekarang', 'mereka', 'pasti', 'nyeselin', 'banget', 'dan', 'berharap', 'beli', 'lebih', 'banyak']","['solana', 'records', 'fifth', 'straight', 'wig', 'of', 'dex', 'volume', 'decline', 'pasti', 'banyak', 'nih', 'yang', 'panik', 'saat', 'volume', 'dex', 'solana', 'turun', 'apalagi', 'sampai', 'minggu', 'berturut', 'turut', 'tapi', 'mereka', 'juga', 'panik', 'waktu', 'bitcoin', 'jatuh', 'di', 'sekarang', 'mereka', 'pasti', 'nyeselin', 'banget', 'dan', 'berharap', 'beli', 'lebih', 'banyak']","['solana', 'records', 'fifth', 'straight', 'wig', 'dex', 'volume', 'decline', 'nih', 'panik', 'volume', 'dex', 'solana', 'turun', 'minggu', 'panik', 'bitcoin', 'jatuh', 'nyeselin', 'banget', 'berharap', 'beli']","['solana', 'records', 'fifth', 'straight', 'wig', 'dex', 'volume', 'decline', 'nih', 'panik', 'volume', 'dex', 'solana', 'turun', 'minggu', 'panik', 'bitcoin', 'jatuh', 'nyeselin', 'banget', 'harap', 'beli']"
GM Gang,gm gang,"['gm', 'gang']","['gm', 'gang']","['gm', 'gang']","['gm', 'gang']"
absolute virgo KK Jishikilie na hii kwanza,absolute virgo kk jishikilie na hii kwanza,"['absolute', 'virgo', 'kk', 'jishikilie', 'na', 'hii', 'kwanza']","['absolute', 'virgo', 'kakak', 'jishikilie', 'nya', 'hii', 'kwanza']","['absolute', 'virgo', 'kakak', 'jishikilie', 'nya', 'hii', 'kwanza']","['absolute', 'virgo', 'kakak', 'jishikilie', 'nya', 'hii', 'kwanza']"
Gm COD gang,gm cod gang,"['gm', 'cod', 'gang']","['gm', 'cod', 'gang']","['gm', 'cod', 'gang']","['gm', 'cod', 'gang']"
Bitcoin Akan Menggantikan Emas Benarkah Ternyata pemalsuan emas tidak hanya terjadi di Indonesia tetapi juga di negara negara maju Fakta ini semakin memperkuat posisi Bitcoin BTC sebagai emas digital yang bisa menjadi pilihan investasi yang lebih aman dan,bitcoin akan menggantikan emas benarkah ternyata pemalsuan emas tidak hanya terjadi di indonesia tetapi juga di negara negara maju fakta ini semakin memperkuat posisi bitcoin btc sebagai emas digital yang bisa menjadi pilihan investasi yang lebih aman dan,"['bitcoin', 'akan', 'menggantikan', 'emas', 'benarkah', 'ternyata', 'pemalsuan', 'emas', 'tidak', 'hanya', 'terjadi', 'di', 'indonesia', 'tetapi', 'juga', 'di', 'negara', 'negara', 'maju', 'fakta', 'ini', 'semakin', 'memperkuat', 'posisi', 'bitcoin', 'btc', 'sebagai', 'emas', 'digital', 'yang', 'bisa', 'menjadi', 'pilihan', 'investasi', 'yang', 'lebih', 'aman', 'dan']","['bitcoin', 'akan', 'menggantikan', 'emas', 'benarkah', 'ternyata', 'pemalsuan', 'emas', 'tidak', 'hanya', 'terjadi', 'di', 'indonesia', 'tetapi', 'juga', 'di', 'negara', 'negara', 'maju', 'fakta', 'ini', 'semakin', 'memperkuat', 'posisi', 'bitcoin', 'btc', 'sebagai', 'emas', 'digital', 'yang', 'bisa', 'menjadi', 'pilihan', 'investasi', 'yang', 'lebih', 'aman', 'dan']","['bitcoin', 'menggantikan', 'emas', 'pemalsuan', 'emas', 'indonesia', 'negara', 'negara', 'maju', 'fakta', 'memperkuat', 'posisi', 'bitcoin', 'btc', 'emas', 'digital', 'pilihan', 'investasi', 'aman']","['bitcoin', 'ganti', 'emas', 'palsu', 'emas', 'indonesia', 'negara', 'negara', 'maju', 'fakta', 'kuat', 'posisi', 'bitcoin', 'btc', 'emas', 'digital', 'pilih', 'investasi', 'aman']"
Wanangu wa Bitcoin walioamini Kuna kupata utajir wa haraka Hali zao kwa sasa,wanangu wa bitcoin walioamini kuna kupata utajir wa haraka hali zao kwa sasa,"['wanangu', 'wa', 'bitcoin', 'walioamini', 'kuna', 'kupata', 'utajir', 'wa', 'haraka', 'hali', 'zao', 'kwa', 'sasa']","['wanangu', 'wa', 'bitcoin', 'walioamini', 'kuna', 'kupata', 'utajir', 'wa', 'haraka', 'hali', 'zao', 'kwa', 'sasa']","['wanangu', 'wa', 'bitcoin', 'walioamini', 'kuna', 'kupata', 'utajir', 'wa', 'haraka', 'hali', 'zao', 'kwa', 'sasa']","['wanangu', 'wa', 'bitcoin', 'walioamini', 'kuna', 'kupata', 'utajir', 'wa', 'haraka', 'hal', 'zao', 'kwa', 'sasa']"
Pengumuman pengumuman Harga Bitcoin hari ini adalah Rp Miliar loh Yuk cek pergerakan Bitcoin sekarang di,pengumuman pengumuman harga bitcoin hari ini adalah rp miliar loh yuk cek pergerakan bitcoin sekarang di,"['pengumuman', 'pengumuman', 'harga', 'bitcoin', 'hari', 'ini', 'adalah', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'pergerakan', 'bitcoin', 'sekarang', 'di']","['pengumuman', 'pengumuman', 'harga', 'bitcoin', 'hari', 'ini', 'adalah', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'pergerakan', 'bitcoin', 'sekarang', 'di']","['pengumuman', 'pengumuman', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'pergerakan', 'bitcoin']","['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']"
What if Danantara dipake beli Bitcoin lalu kita masuk bear market,what if danantara dipake beli bitcoin lalu kita masuk bear market,"['what', 'if', 'danantara', 'dipake', 'beli', 'bitcoin', 'lalu', 'kita', 'masuk', 'bear', 'market']","['what', 'if', 'danantara', 'dipakai', 'beli', 'bitcoin', 'lalu', 'kita', 'masuk', 'bear', 'market']","['danantara', 'dipakai', 'beli', 'bitcoin', 'masuk', 'bear', 'market']","['danantara', 'pakai', 'beli', 'bitcoin', 'masuk', 'bear', 'market']"
Pi open Network feb Pi Pi mata uang Global Pi Network evolusi BITCOIN,pi open network feb pi pi mata uang global pi network evolusi bitcoin,"['pi', 'open', 'network', 'feb', 'pi', 'pi', 'mata', 'uang', 'global', 'pi', 'network', 'evolusi', 'bitcoin']","['tapi', 'open', 'network', 'februari', 'tapi', 'tapi', 'mata', 'uang', 'global', 'tapi', 'network', 'evolusi', 'bitcoin']","['open', 'network', 'februari', 'mata', 'uang', 'global', 'network', 'evolusi', 'bitcoin']","['open', 'network', 'februari', 'mata', 'uang', 'global', 'network', 'evolusi', 'bitcoin']"
tst Entry Zone Take Profit TP Levels TP TP TP TP TP Stop Loss SL,tst entry zone take profit tp levels tp tp tp tp tp stop loss sl,"['tst', 'entry', 'zone', 'take', 'profit', 'tp', 'levels', 'tp', 'tp', 'tp', 'tp', 'tp', 'stop', 'loss', 'sl']","['tst', 'entry', 'zone', 'take', 'profit', 'tapi', 'levels', 'tapi', 'tapi', 'tapi', 'tapi', 'tapi', 'stop', 'loss', 'sl']","['tst', 'entry', 'zone', 'take', 'profit', 'levels', 'stop', 'loss', 'sl']","['tst', 'entry', 'zone', 'take', 'profit', 'levels', 'stop', 'loss', 'sl']"
UPDATE Meski emas telah mencapai titik tertinggi sepanjang waktu atau all time high ATH senilai US nilainya setiap tahun tetap merosot jika dibandingkan dengan Bitcoin BTC,update meski emas telah mencapai titik tertinggi sepanjang waktu atau all time high ath senilai us nilainya setiap tahun tetap merosot jika dibandingkan dengan bitcoin btc,"['update', 'meski', 'emas', 'telah', 'mencapai', 'titik', 'tertinggi', 'sepanjang', 'waktu', 'atau', 'all', 'time', 'high', 'ath', 'senilai', 'us', 'nilainya', 'setiap', 'tahun', 'tetap', 'merosot', 'jika', 'dibandingkan', 'dengan', 'bitcoin', 'btc']","['update', 'meski', 'emas', 'telah', 'mencapai', 'titik', 'tertinggi', 'sepanjang', 'waktu', 'atau', 'all', 'time', 'high', 'ath', 'senilai', 'us', 'nilainya', 'setiap', 'tahun', 'tetap', 'merosot', 'jika', 'dibandingkan', 'dengan', 'bitcoin', 'btc']","['update', 'emas', 'mencapai', 'titik', 'tertinggi', 'time', 'high', 'ath', 'senilai', 'us', 'nilainya', 'merosot', 'dibandingkan', 'bitcoin', 'btc']","['update', 'emas', 'capai', 'titik', 'tinggi', 'time', 'high', 'ath', 'nila', 'us', 'nilai', 'merosot', 'banding', 'bitcoin', 'btc']"
Alasannya sita rumah itu uang ngendon tidak berputar makanya bank lebih suka nego pembayaran Jika ada bank bangkrut rasa kepercayaan masyarakat terhadap bank turun sehingga Bitcoin naik Becoz not our key not our money Bank di AS Ingat kasus SVB,alasannya sita rumah itu uang ngendon tidak berputar makanya bank lebih suka nego pembayaran jika ada bank bangkrut rasa kepercayaan masyarakat terhadap bank turun sehingga bitcoin naik becoz not our key not our money bank di as ingat kasus svb,"['alasannya', 'sita', 'rumah', 'itu', 'uang', 'ngendon', 'tidak', 'berputar', 'makanya', 'bank', 'lebih', 'suka', 'nego', 'pembayaran', 'jika', 'ada', 'bank', 'bangkrut', 'rasa', 'kepercayaan', 'masyarakat', 'terhadap', 'bank', 'turun', 'sehingga', 'bitcoin', 'naik', 'becoz', 'not', 'our', 'key', 'not', 'our', 'money', 'bank', 'di', 'as', 'ingat', 'kasus', 'svb']","['alasannya', 'sita', 'rumah', 'itu', 'uang', 'ngendon', 'tidak', 'berputar', 'makanya', 'bank', 'lebih', 'suka', 'nego', 'pembayaran', 'jika', 'ada', 'bank', 'bangkrut', 'rasa', 'kepercayaan', 'masyarakat', 'terhadap', 'bank', 'turun', 'sehingga', 'bitcoin', 'naik', 'becoz', 'not', 'our', 'key', 'not', 'our', 'money', 'bank', 'di', 'as', 'ingat', 'kasus', 'svb']","['alasannya', 'sita', 'rumah', 'uang', 'ngendon', 'berputar', 'bank', 'suka', 'nego', 'pembayaran', 'bank', 'bangkrut', 'kepercayaan', 'masyarakat', 'bank', 'turun', 'bitcoin', 'becoz', 'key', 'money', 'bank', 'svb']","['alas', 'sita', 'rumah', 'uang', 'ngendon', 'putar', 'bank', 'suka', 'nego', 'bayar', 'bank', 'bangkrut', 'percaya', 'masyarakat', 'bank', 'turun', 'bitcoin', 'becoz', 'key', 'money', 'bank', 'svb']"
Jika ada bank bangkrut di AS bitcoin naik Karena bank bangkrut adalah pernyataan bahwa duit yang disimpan di bank tidak berada di bank dan dalam keadaan minus Minus artinya bank memberikan pinjaman yang tidak lancar atau kena kredit macet,jika ada bank bangkrut di as bitcoin naik karena bank bangkrut adalah pernyataan bahwa duit yang disimpan di bank tidak berada di bank dan dalam keadaan minus minus artinya bank memberikan pinjaman yang tidak lancar atau kena kredit macet,"['jika', 'ada', 'bank', 'bangkrut', 'di', 'as', 'bitcoin', 'naik', 'karena', 'bank', 'bangkrut', 'adalah', 'pernyataan', 'bahwa', 'duit', 'yang', 'disimpan', 'di', 'bank', 'tidak', 'berada', 'di', 'bank', 'dan', 'dalam', 'keadaan', 'minus', 'minus', 'artinya', 'bank', 'memberikan', 'pinjaman', 'yang', 'tidak', 'lancar', 'atau', 'kena', 'kredit', 'macet']","['jika', 'ada', 'bank', 'bangkrut', 'di', 'as', 'bitcoin', 'naik', 'karena', 'bank', 'bangkrut', 'adalah', 'pernyataan', 'bahwa', 'duit', 'yang', 'disimpan', 'di', 'bank', 'tidak', 'berada', 'di', 'bank', 'dan', 'dalam', 'keadaan', 'minus', 'minus', 'artinya', 'bank', 'memberikan', 'pinjaman', 'yang', 'tidak', 'lancar', 'atau', 'kena', 'kredit', 'macet']","['bank', 'bangkrut', 'bitcoin', 'bank', 'bangkrut', 'pernyataan', 'duit', 'disimpan', 'bank', 'bank', 'minus', 'minus', 'bank', 'pinjaman', 'lancar', 'kena', 'kredit', 'macet']","['bank', 'bangkrut', 'bitcoin', 'bank', 'bangkrut', 'nyata', 'duit', 'simpan', 'bank', 'bank', 'minus', 'minus', 'bank', 'pinjam', 'lancar', 'kena', 'kredit', 'macet']"
Konverter Haiej MNicolas OK RedDeer Games cmontufar Sent,konverter haiej mnicolas ok reddeer games cmontufar sent,"['konverter', 'haiej', 'mnicolas', 'ok', 'reddeer', 'games', 'cmontufar', 'sent']","['konverter', 'haiej', 'mnicolas', 'ok', 'reddeer', 'games', 'cmontufar', 'sent']","['konverter', 'haiej', 'mnicolas', 'ok', 'reddeer', 'games', 'cmontufar', 'sent']","['konverter', 'haiej', 'mnicolas', 'ok', 'reddeer', 'games', 'cmontufar', 'sent']"
tigorsiagian Kepikiran buat investasi di reksadana saham aja udah aneh Sebaiknya pilih RDPU buat dana darurat or low risk investment RDPT buat yg mau jangka lbh panjang tp risk medium Yg demen high risk high return mending langsung terjun ke saham atau bitcoin,tigorsiagian kepikiran buat investasi di reksadana saham aja udah aneh sebaiknya pilih rdpu buat dana darurat or low risk investment rdpt buat yg mau jangka lbh panjang tp risk medium yg demen high risk high return mending langsung terjun ke saham atau bitcoin,"['tigorsiagian', 'kepikiran', 'buat', 'investasi', 'di', 'reksadana', 'saham', 'aja', 'udah', 'aneh', 'sebaiknya', 'pilih', 'rdpu', 'buat', 'dana', 'darurat', 'or', 'low', 'risk', 'investment', 'rdpt', 'buat', 'yg', 'mau', 'jangka', 'lbh', 'panjang', 'tp', 'risk', 'medium', 'yg', 'demen', 'high', 'risk', 'high', 'return', 'mending', 'langsung', 'terjun', 'ke', 'saham', 'atau', 'bitcoin']","['tigorsiagian', 'kepikiran', 'buat', 'investasi', 'di', 'reksadana', 'saham', 'saja', 'sudah', 'aneh', 'sebaiknya', 'pilih', 'rdpu', 'buat', 'dana', 'darurat', 'orang', 'low', 'risk', 'investment', 'rdpt', 'buat', 'yang', 'mau', 'jangka', 'lebih', 'panjang', 'tapi', 'risk', 'medium', 'yang', 'demen', 'high', 'risk', 'high', 'return', 'mending', 'langsung', 'terjun', 'ke', 'saham', 'atau', 'bitcoin']","['tigorsiagian', 'kepikiran', 'investasi', 'reksadana', 'saham', 'aneh', 'pilih', 'rdpu', 'dana', 'darurat', 'orang', 'low', 'risk', 'investment', 'rdpt', 'jangka', 'risk', 'medium', 'demen', 'high', 'risk', 'high', 'return', 'mending', 'langsung', 'terjun', 'saham', 'bitcoin']","['tigorsiagian', 'pikir', 'investasi', 'reksadana', 'saham', 'aneh', 'pilih', 'rdpu', 'dana', 'darurat', 'orang', 'low', 'risk', 'investment', 'rdpt', 'jangka', 'risk', 'medium', 'demen', 'high', 'risk', 'high', 'return', 'mending', 'langsung', 'terjun', 'saham', 'bitcoin']"
bitcoin terbaru,bitcoin terbaru,"['bitcoin', 'terbaru']","['bitcoin', 'terbaru']","['bitcoin', 'terbaru']","['bitcoin', 'baru']"
Versi gratis artikel Februari via Tokocrypto Bilang makasih sama minko dulu tiap minggu saya dibayar M untuk menggratiskan artikel Tren Bitcoin buat rakyat Indonesia,versi gratis artikel februari via tokocrypto bilang makasih sama minko dulu tiap minggu saya dibayar m untuk menggratiskan artikel tren bitcoin buat rakyat indonesia,"['versi', 'gratis', 'artikel', 'februari', 'via', 'tokocrypto', 'bilang', 'makasih', 'sama', 'minko', 'dulu', 'tiap', 'minggu', 'saya', 'dibayar', 'm', 'untuk', 'menggratiskan', 'artikel', 'tren', 'bitcoin', 'buat', 'rakyat', 'indonesia']","['versi', 'gratis', 'artikel', 'februari', 'via', 'tokocrypto', 'bilang', 'terima kasih', 'sama', 'minko', 'dulu', 'tiap', 'minggu', 'saya', 'dibayar', 'sama', 'untuk', 'menggratiskan', 'artikel', 'tren', 'bitcoin', 'buat', 'rakyat', 'indonesia']","['versi', 'gratis', 'artikel', 'februari', 'via', 'tokocrypto', 'bilang', 'terima kasih', 'minko', 'minggu', 'dibayar', 'menggratiskan', 'artikel', 'tren', 'bitcoin', 'rakyat', 'indonesia']","['versi', 'gratis', 'artikel', 'februari', 'via', 'tokocrypto', 'bilang', 'terima kasih', 'minko', 'minggu', 'bayar', 'gratis', 'artikel', 'tren', 'bitcoin', 'rakyat', 'indonesia']"
Tetap perhatikan siklus Bitcoin Dominance ini untuk lihat gimana altcoin bisa perform terhadap BTC Jangan FOMO buta pahami ritmenya,tetap perhatikan siklus bitcoin dominance ini untuk lihat gimana altcoin bisa perform terhadap btc jangan fomo buta pahami ritmenya,"['tetap', 'perhatikan', 'siklus', 'bitcoin', 'dominance', 'ini', 'untuk', 'lihat', 'gimana', 'altcoin', 'bisa', 'perform', 'terhadap', 'btc', 'jangan', 'fomo', 'buta', 'pahami', 'ritmenya']","['tetap', 'perhatikan', 'siklus', 'bitcoin', 'dominance', 'ini', 'untuk', 'lihat', 'bagaimana', 'altcoin', 'bisa', 'perform', 'terhadap', 'btc', 'jangan', 'fomo', 'buta', 'pahami', 'ritmenya']","['perhatikan', 'siklus', 'bitcoin', 'dominance', 'lihat', 'altcoin', 'perform', 'btc', 'fomo', 'buta', 'pahami', 'ritmenya']","['perhati', 'siklus', 'bitcoin', 'dominance', 'lihat', 'altcoin', 'perform', 'btc', 'fomo', 'buta', 'paham', 'ritme']"
SIAP SIAP Angin segar untuk altcoin terjadi juga beberapa hari terakhir pas saat Bitcoin Dominance mulai turun altcoin mulai bangkit Dari chart BTC D ketemu resistance kuat di zona atas amp mulai terkoreksi Kalau lanjut breakdown altseason bisa saja terjadi Tapi,siap siap angin segar untuk altcoin terjadi juga beberapa hari terakhir pas saat bitcoin dominance mulai turun altcoin mulai bangkit dari chart btc d ketemu resistance kuat di zona atas amp mulai terkoreksi kalau lanjut breakdown altseason bisa saja terjadi tapi,"['siap', 'siap', 'angin', 'segar', 'untuk', 'altcoin', 'terjadi', 'juga', 'beberapa', 'hari', 'terakhir', 'pas', 'saat', 'bitcoin', 'dominance', 'mulai', 'turun', 'altcoin', 'mulai', 'bangkit', 'dari', 'chart', 'btc', 'd', 'ketemu', 'resistance', 'kuat', 'di', 'zona', 'atas', 'amp', 'mulai', 'terkoreksi', 'kalau', 'lanjut', 'breakdown', 'altseason', 'bisa', 'saja', 'terjadi', 'tapi']","['siap', 'siap', 'angin', 'segar', 'untuk', 'altcoin', 'terjadi', 'juga', 'beberapa', 'hari', 'terakhir', 'pas', 'saat', 'bitcoin', 'dominance', 'mulai', 'turun', 'altcoin', 'mulai', 'bangkit', 'dari', 'chart', 'btc', 'di', 'ketemu', 'resistance', 'kuat', 'di', 'zona', 'atas', 'amp', 'mulai', 'terkoreksi', 'kalau', 'lanjut', 'breakdown', 'altseason', 'bisa', 'saja', 'terjadi', 'tapi']","['angin', 'segar', 'altcoin', 'pas', 'bitcoin', 'dominance', 'turun', 'altcoin', 'bangkit', 'chart', 'btc', 'ketemu', 'resistance', 'kuat', 'zona', 'amp', 'terkoreksi', 'breakdown', 'altseason']","['angin', 'segar', 'altcoin', 'pas', 'bitcoin', 'dominance', 'turun', 'altcoin', 'bangkit', 'chart', 'btc', 'ketemu', 'resistance', 'kuat', 'zona', 'amp', 'koreksi', 'breakdown', 'altseason']"
like i said before many many many times di podcast seminar dll next bull run akan rebutan bitcoin antar negara dan bukan retail lagi,like i said before many many many times di podcast seminar dll next bull run akan rebutan bitcoin antar negara dan bukan retail lagi,"['like', 'i', 'said', 'before', 'many', 'many', 'many', 'times', 'di', 'podcast', 'seminar', 'dll', 'next', 'bull', 'run', 'akan', 'rebutan', 'bitcoin', 'antar', 'negara', 'dan', 'bukan', 'retail', 'lagi']","['like', 'i', 'said', 'before', 'many', 'many', 'many', 'times', 'di', 'podcast', 'seminar', 'dll', 'next', 'bull', 'run', 'akan', 'rebutan', 'bitcoin', 'antar', 'negara', 'dan', 'bukan', 'retail', 'lagi']","['like', 'said', 'many', 'many', 'many', 'times', 'podcast', 'seminar', 'dll', 'next', 'bull', 'run', 'rebutan', 'bitcoin', 'negara', 'retail']","['like', 'said', 'many', 'many', 'many', 'times', 'podcast', 'seminar', 'dll', 'next', 'bull', 'run', 'rebut', 'bitcoin', 'negara', 'retail']"
GM Maaf terlambat briefing tadi disuruh beli Air Galon biji M Tiongkok naik Retail sales ambles ditambah RRP nol DXY secara domestik AS kehilangan gas naik sementara Bitcoin hari sabtu woles karena institusi libur Woles artinya closing esok tanggal,gm maaf terlambat briefing tadi disuruh beli air galon biji m tiongkok naik retail sales ambles ditambah rrp nol dxy secara domestik as kehilangan gas naik sementara bitcoin hari sabtu woles karena institusi libur woles artinya closing esok tanggal,"['gm', 'maaf', 'terlambat', 'briefing', 'tadi', 'disuruh', 'beli', 'air', 'galon', 'biji', 'm', 'tiongkok', 'naik', 'retail', 'sales', 'ambles', 'ditambah', 'rrp', 'nol', 'dxy', 'secara', 'domestik', 'as', 'kehilangan', 'gas', 'naik', 'sementara', 'bitcoin', 'hari', 'sabtu', 'woles', 'karena', 'institusi', 'libur', 'woles', 'artinya', 'closing', 'esok', 'tanggal']","['gm', 'maaf', 'terlambat', 'briefing', 'tadi', 'disuruh', 'beli', 'air', 'galon', 'biji', 'sama', 'tiongkok', 'naik', 'retail', 'sales', 'ambles', 'ditambah', 'rrp', 'nol', 'dxy', 'secara', 'domestik', 'as', 'kehilangan', 'gas', 'naik', 'sementara', 'bitcoin', 'hari', 'sabtu', 'selow', 'karena', 'institusi', 'libur', 'selow', 'artinya', 'closing', 'esok', 'tanggal']","['gm', 'maaf', 'terlambat', 'briefing', 'disuruh', 'beli', 'air', 'galon', 'biji', 'tiongkok', 'retail', 'sales', 'ambles', 'ditambah', 'rrp', 'nol', 'dxy', 'domestik', 'kehilangan', 'gas', 'bitcoin', 'sabtu', 'selow', 'institusi', 'libur', 'selow', 'closing', 'esok', 'tanggal']","['gm', 'maaf', 'lambat', 'briefing', 'suruh', 'beli', 'air', 'galon', 'biji', 'tiongkok', 'retail', 'sales', 'ambles', 'tambah', 'rrp', 'nol', 'dxy', 'domestik', 'hilang', 'gas', 'bitcoin', 'sabtu', 'selow', 'institusi', 'libur', 'selow', 'closing', 'esok', 'tanggal']"
Abu Dhabi is buying bitcoin Alhamdulillah,abu dhabi is buying bitcoin alhamdulillah,"['abu', 'dhabi', 'is', 'buying', 'bitcoin', 'alhamdulillah']","['abu', 'dhabi', 'is', 'buying', 'bitcoin', 'alhamdulillah']","['abu', 'dhabi', 'buying', 'bitcoin', 'alhamdulillah']","['abu', 'dhabi', 'buying', 'bitcoin', 'alhamdulillah']"
hareketlendi,hareketlendi,['hareketlendi'],['hareketlendi'],['hareketlendi'],['hareketlendi']
SWF Abu Dhabi beli Bitcoin Yok Danantara juga bisa yok,swf abu dhabi beli bitcoin yok danantara juga bisa yok,"['swf', 'abu', 'dhabi', 'beli', 'bitcoin', 'yok', 'danantara', 'juga', 'bisa', 'yok']","['swf', 'abu', 'dhabi', 'beli', 'bitcoin', 'yuk', 'danantara', 'juga', 'bisa', 'yuk']","['swf', 'abu', 'dhabi', 'beli', 'bitcoin', 'yuk', 'danantara', 'yuk']","['swf', 'abu', 'dhabi', 'beli', 'bitcoin', 'yuk', 'danantara', 'yuk']"
XRP or HBAR,xrp or hbar,"['xrp', 'or', 'hbar']","['xrp', 'orang', 'hbar']","['xrp', 'orang', 'hbar']","['xrp', 'orang', 'hbar']"
Yuk gabung ke meetup perdana Bitcoin Indonesia di Solo bulan Februari ini Waktu Sabtu Februari Jam WIB Lokasi Eighteen Grounds Coffee Pucangsawit UNS Yuk buruan daftar tiket GRATISMU disini,yuk gabung ke meetup perdana bitcoin indonesia di solo bulan februari ini waktu sabtu februari jam wib lokasi eighteen grounds coffee pucangsawit uns yuk buruan daftar tiket gratismu disini,"['yuk', 'gabung', 'ke', 'meetup', 'perdana', 'bitcoin', 'indonesia', 'di', 'solo', 'bulan', 'februari', 'ini', 'waktu', 'sabtu', 'februari', 'jam', 'wib', 'lokasi', 'eighteen', 'grounds', 'coffee', 'pucangsawit', 'uns', 'yuk', 'buruan', 'daftar', 'tiket', 'gratismu', 'disini']","['yuk', 'gabung', 'ke', 'meetup', 'perdana', 'bitcoin', 'indonesia', 'di', 'solo', 'bulan', 'februari', 'ini', 'waktu', 'sabtu', 'februari', 'jam', 'wib', 'lokasi', 'eighteen', 'grounds', 'coffee', 'pucangsawit', 'uns', 'yuk', 'buruan', 'daftar', 'tiket', 'gratismu', 'disini']","['yuk', 'gabung', 'meetup', 'perdana', 'bitcoin', 'indonesia', 'solo', 'februari', 'sabtu', 'februari', 'jam', 'wib', 'lokasi', 'eighteen', 'grounds', 'coffee', 'pucangsawit', 'uns', 'yuk', 'buruan', 'daftar', 'tiket', 'gratismu']","['yuk', 'gabung', 'meetup', 'perdana', 'bitcoin', 'indonesia', 'solo', 'februari', 'sabtu', 'februari', 'jam', 'wib', 'lokasi', 'eighteen', 'grounds', 'coffee', 'pucangsawit', 'uns', 'yuk', 'buru', 'daftar', 'tiket', 'gratis']"
Apa jadi Kluang Johor,apa jadi kluang johor,"['apa', 'jadi', 'kluang', 'johor']","['apa', 'jadi', 'kluang', 'johor']","['kluang', 'johor']","['kluang', 'johor']"
Nyuruh konglo beli bitcoin,nyuruh konglo beli bitcoin,"['nyuruh', 'konglo', 'beli', 'bitcoin']","['nyuruh', 'konglo', 'beli', 'bitcoin']","['nyuruh', 'konglo', 'beli', 'bitcoin']","['nyuruh', 'konglo', 'beli', 'bitcoin']"
