stemming,inset,nilai_inset,matched_words
"['bitcoin', 'salah', 'telak', 'maaf', 'ya', 'excuse']",negative,-1,"salah(-4.0), telak(-3.0), maaf(2.0), ya(4.0)"
"['bitcoin', 'bawah', 'nih']",negative,-1,
"['gin', 'darah', 'darah', 'altcoin', 'minggu', 'sebab', 'bitcoin', 'turun', 'minggu', 'pepatah', 'jaman', 'laku', 'banget', 'bitcoin', 'batuk', 'altcoin', 'berak', 'darah']",positive,1,"darah(4.0), darah(4.0), sebab(3.0), turun(1.0), jaman(-2.0), banget(1.0), batuk(-4.0), berak(-4.0), darah(4.0)"
"['futuro', 'bitcoin', 'meetup', 'brasil', 'portugal', 'via', 'youtube']",negative,-1,
"['simulacra', 'iykyk', 'art', 'bitcoin', 'poortraitsart']",negative,-1,
"['xrp', 'vs', 'bitcoin']",negative,-1,
"['turun', 'bitcoin', 'altcoin', 'manfaat', 'cicil', 'bnb', 'tambah', 'bnb', 'bnb', 'target', 'harga']",positive,1,"turun(1.0), manfaat(5.0), tambah(3.0), harga(3.0)"
"['cz', 'butuh', 'butuh']",negative,-1,"butuh(-5.0), butuh(-5.0)"
"['alt', 'sisen', 'crypto', 'talk', 'altseason', 'alas', 'data', 'us', 'supply', 'dekat', 'high', 'nya', 'us', 'diam', 'cetak', 'uang', 'alir', 'aset', 'resiko', 'crypto', 'lihat', 'sejarah', 'bitcoin', 'dominance', 'percaya']",positive,1,"data(-3.0), dekat(1.0), diam(1.0), lihat(3.0), percaya(2.0)"
"['akun', 'scammer', 'network', 'ling', 'suro', 'akun', 'edukasi', 'bitcoin']",negative,-1,
"['gm', 'gang']",negative,-1,gang(-4.0)
"['benda', 'rsbjr', 'duit', 'orang', 'sedekah', 'tukar', 'bitcoin', 'value', 'lepas', 'rm', 'transfer', 'wallet', 'satoshi', 'bitcoin', 'hardware', 'wallet', 'helping', 'stack', 'sats', 'since', 'day']",negative,-1,"tukar(1.0), lepas(-2.0)"
"['tomketlovers', 'main', 'futures', 'main', 'altcoin', 'memecoin', 'invest', 'long', 'term', 'bitcoin']",positive,1,"main(2.0), main(2.0)"
['senaryom'],negative,-1,
"['milik', 'immutable', 'lihat', 'case', 'kali', 'property', 'alas', 'utama', 'tinggal', 'real', 'estate', 'real', 'estate', 'bitcoin']",positive,1,"milik(1.0), lihat(3.0), tinggal(1.0), real(2.0), real(2.0)"
"['bitcoin', 'kekius']",negative,-1,
"['pepecoin', 'kekec', 'bitcoin']",negative,-1,
"['next', 'bitcoin', 'fash', 'cezlnywkd', 'wwk', 'vrmjd', 'n', 'b', 'dssrxpump']",negative,-1,next(-2.0)
"['bahagia', 'orang', 'sempat', 'energi', 'ajar', 'bitcoin']",positive,1,"bahagia(4.0), energi(3.0), ajar(1.0)"
"['wow', 'bitcoin', 'adoption', 'lin', 'vs', 'lin', 'cc', 'bitcoinberlinsv']",negative,-1,
"['usdt', 'network', 'trc', 'tvfjwft', 'lq', 'twpjkayyg', 'ot', 'nuhv', 'bitcoin', 'network', 'bitcoin', 'aybxka', 'lm', 'xikrjdphtz', 'smbql']",negative,-1,
"['ngumpul', 'keluarga', 'istri', 'rangka', 'imlek', 'tau', 'gue', 'investo', 'crypto', 'market', 'biasa', 'obrol', 'bitcoin', 'om', 'usia', 'atas', 'bitcoin', 'aman', 'lupa', 'password', 'nya', 'hilang', 'duit', 'simpan', 'bank']",negative,-1,"keluarga(4.0), tau(-4.0), biasa(2.0), atas(-4.0), lupa(1.0), hilang(3.0), simpan(-3.0)"
"['aceblitzz', 'nziokamul', 'alhajike', 'africateller', 'io', 'afericanj', 'notyournyukwake', 'sih', 'sih', 'wanjiru', 'amwalnce', 'ealvo', 'nimekua', 'nikifikiria', 'hii', 'story', 'ya', 'crypto', 'ona', 'venye', 'bitcoin', 'ilitoka', 'uko', 'mpaka', 'sahi', 'wasee', 'wengi', 'wako', 'nya', 'fomo', 'think', 'crypto', 'itakua', 'nwo', 'currency', 'nya', 'ukileta', 'ujeri', 'unafungiwa', 'internet', 'ndio', 'usi', 'access', 'mullah', 'yako']",positive,1,"hii(3.0), ya(4.0), mullah(3.0)"
"['token', 'binary', 'system', 'barusan', 'baca', 'papernya', 'mitja', 'goroshevsky', 'usul', 'jaring', 'model', 'token', 'nackl', 'token', 'jaga', 'aman', 'jaring', 'batas', 'miliar', 'langka', 'iring', 'bitcoin']",positive,1,"baca(3.0), usul(2.0), jaring(3.0), model(3.0), jaga(2.0), jaring(3.0), batas(-3.0), langka(-5.0)"
"['krmnlt', 'si', 'bal', 'wna', 'ukraina', 'korban', 'pnclkn', 'pngnyan', 'bal', 'korban', 'serang', 'orang', 'topeng', 'paksa', 'masuk', 'mobil', 'dis', 'transfer', 'rp', 'miliar', 'bitcoin', 'akun', 'laku', 'jadi', 'desember', 'kuta']",negative,-1,"korban(-4.0), korban(-4.0), serang(-4.0), paksa(-4.0), masuk(-3.0), mobil(1.0), jadi(1.0)"
"['watan', 'nan', 'nya', 'january', 'ya', 'karu', 'dah', 'kus', 'kaso', 'tarihin', 'kasuwar', 'crypto', 'ashekara', 'dah', 'wuce', 'watan', 'february', 'yana', 'zaman', 'bullish', 'mene', 'hasashen', 'ku', 'wan', 'nan', 'february', 'dah', 'zai', 'kama', 'gobe']",negative,-1,"ya(4.0), karu(-5.0), dah(-3.0), dah(-3.0), wan(-4.0), dah(-3.0)"
"['rosseti', 'masuk', 'dunia', 'crypto', 'bikin', 'bitcoin', 'harga', 'lonjak', 'rosseti', 'usaha', 'listrik', 'besar', 'rusia', 'umum', 'rencana', 'manfaat', 'kapasitas', 'listrik', 'pakai', 'masuk', 'industri', 'tambang', 'bitcoin', 'strategi']",positive,1,"masuk(-3.0), dunia(1.0), harga(3.0), usaha(1.0), besar(4.0), umum(1.0), rencana(2.0), manfaat(5.0), kapasitas(3.0), masuk(-3.0)"
"['clsk', 'fasb']",negative,-1,
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['gubernur', 'bank', 'sentral', 'eropa', 'percaya', 'bitcoin', 'cadev', 'eropa', 'pensiun', 'anak', 'invest', 'bitcoin']",negative,-1,"percaya(2.0), pensiun(-3.0), anak(-3.0)"
"['clemente', 'analisanya', 'tren', 'bitcoin']",negative,-1,tren(-2.0)
"['bitcoin', 'aik', 'din', 'mein', 'kitna', 'ooper', 'gaya', 'aaj', 'check', 'kar', 'batao', 'ab', 'dekho', 'ethereum', 'aik', 'din', 'mein', 'kitna', 'ooper', 'gaya', 'aaj', 'iska', 'matlab', 'yea', 'hai', 'investors', 'aa', 'rahay', 'hein', 'wapas', 'ethereum', 'layer', 'projects', 'ander', 'samajh', 'aati', 'hai', 'baton', 'ki']",positive,1,"check(1.0), ab(3.0), hai(3.0), hai(3.0)"
"['bitcoin', 'dogecoin', 'buttcoin', 'fash', 'cezlnywkd', 'wwk', 'vrmjd', 'n', 'b', 'dssrxpump']",negative,-1,
"['wow', 'another', 'central', 'bank', 'taruh', 'devisa', 'nya', 'bitcoin']",positive,1,taruh(4.0)
"['mstr', 'bitcoin', 'share', 'btc', 'share', 'btc', 'btc', 'prediction', 'btc', 'prediction', 'btc', 'prediction', 'btc']",negative,-1,
"['bitcoin', 'teman', 'bitcoin', 'pengin', 'ajar', 'gue', 'tonton', 'youtube', 'gue', 'nih', 'link', 'nya', 'bitcoin', 'teman', 'bitcoin', 'pengin', 'ajar', 'gue', 'tonton', 'youtube', 'gue', 'nih', 'link', 'nya', 'bitcoin', 'teman', 'bitcoin', 'pengin', 'ajar', 'gue', 'tonton', 'youtube', 'gue', 'nih', 'link', 'nya']",negative,-1,"ajar(1.0), tonton(-4.0), ajar(1.0), tonton(-4.0), ajar(1.0), tonton(-4.0)"
"['viral', 'negeri', 'turis', 'rusia', 'culik', 'turis', 'ukraina', 'bal', 'motif', 'nasionalisme', 'motif', 'ekonomi', 'group', 'turis', 'rusia', 'culik', 'turis', 'ukraina', 'group', 'culik', 'korban', 'transfer', 'bitcoin', 'walletnya']",negative,-1,korban(-4.0)
"['babban', 'bank', 'n', 'kak', 'ar', 'norway', 'yana', 'dah', 'dah', 'yakai', 'nya', 'kimanin', 'dala', 'milyan', 'microstrategy', 'jiya', 'group', 'nake', 'wan', 'nan', 'maganar', 'cewa', 'nan', 'dah', 'karshen', 'shekarar', 'nan', 'banks', 'zasu', 'fara', 'daukar', 'yan', 'crypto', 'aiki']",negative,-1,"dah(-3.0), dah(-3.0), wan(-4.0), dah(-3.0)"
"['tap', 'bitcoin', 'icp']",negative,-1,
"['juicy', 'yield', 'alemicrostrategy', 'tawar', 'dividen', 'preferred', 'microstrategy', 'kenal', 'pegang', 'bitcoin', 'besar', 'kalang', 'korporasi', 'umum', 'tawar', 'juta', 'sekuritas', 'preferred', 'dividen', 'giur']",negative,-1,"tawar(-4.0), kenal(3.0), pegang(-2.0), besar(4.0), umum(1.0), tawar(-4.0), juta(2.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['baru', 'senator', 'menendez', 'tentang', 'el', 'salvador', 'adopsi', 'bitcoin', 'barusan', 'hukum', 'penjara', 'terima', 'suap', 'bentuk', 'emas', 'cash', 'malu']",positive,1,"tentang(1.0), el(-3.0), hukum(3.0), penjara(-4.0), terima(2.0), suap(1.0), bentuk(4.0), cash(2.0), malu(2.0)"
"['b', 'bitcoin', 'fn', 'ku', 'fepzap', 'igk', 'jhnvjgiskpa', 'demkxpmv', 'rawpump']",negative,-1,
"['garap', 'faucet', 'satoshi', 'receh', 'orang', 'julid', 'sih', 'bitcoin', 'bitcoin', 'cari', 'kerja', 'cari', 'duit', 'hirau', 'faucet', 'garap', 'bounty', 'ahirnya', 'putar', 'trading', 'bitcoin']",negative,-1,"receh(-4.0), cari(-3.0), kerja(2.0), cari(-3.0)"
"['jahar', 'illinois', 'ta', 'amurka', 'ta', 'turawa', 'jalisa', 'bill', 'nya', 'strategic', 'reserve']",negative,-1,"ta(-3.0), ta(-3.0)"
"['bang', 'btc', 'mstr']",negative,-1,
"['bitcoin', 'kali', 'icp']",negative,-1,
"['sitawachwa', 'nyuma', 'vile', 'niliwachwa', 'nya', 'train', 'ya', 'bitcoin', 'mniambie', 'nih', 'wapi', 'nitabet', 'nya', 'basi', 'nishide', 'kesho', 'asubuhi']",negative,-1,"ya(4.0), basi(-5.0)"
"['jelas', 'masuk', 'akal', 'banget', 'altseason', 'rotasi', 'bitcoin', 'alt', 'cycle', 'alt', 'apa', 'rotasi', 'sok', 'rotasi', 'nya', 'alt', 'meme']",negative,-1,"jelas(1.0), masuk(-3.0), banget(1.0), apa(-3.0)"
"['gua', 'kali', 'lihat', 'gen', 'tiktok', 'sok', 'sok', 'jelasin', 'bitcoin', 'return', 'gede', 'properti', 'pengin', 'akak', 'omong', 'return', 'ya', 'aspek', 'liquid', 'orang', 'anything', 'lu', 'benar', 'percaya', 'properti', 'kalah', 'bitcoin', 'jangka']",positive,1,"gua(-3.0), lihat(3.0), gede(2.0), omong(-4.0), ya(4.0), aspek(-3.0), benar(2.0), percaya(2.0), kalah(-4.0), jangka(3.0)"
"['luncur', 'deepseek', 'al', 'china', 'canggih', 'efisien', 'galau', 'panic', 'selling', 'sektor', 'teknologi', 'langsung', 'rembet', 'kripto', 'bitcoin', 'solana', 'puruk', 'ancam', 'bullrun', 'kripto']",positive,1,"efisien(4.0), langsung(3.0), ancam(-4.0)"
"['ruto', 'advisors', 'nih', 'mafala', 'angenunua', 'bitcoin', 'right', 'kuingia', 'kenya', 'ingekua', 'mbali', 'debt', 'free']",positive,1,free(3.0)
"['weh', 'cbkkenya', 'kwa', 'nini', 'hamtaki', 'kununua', 'bitcoin', 'shenzi']",negative,-1,
"['cycle', 'tunjuk', 'crypto', 'ponzi', 'hold', 'bitcoin', 'gain', 'lost', 'outperforming', 'bitcoin', 'game', 'kasino', 'dopamine', 'ujung', 'hold', 'bitcoin']",negative,-1,"lost(-3.0), game(2.0), ujung(-3.0)"
"['huna', 'mke', 'huna', 'demu', 'huna', 'mamilioni', 'huna', 'shamba', 'huna', 'kiwanja', 'huna', 'nyumba', 'huna', 'bitcoin', 'huna', 'usafiri', 'huna', 'average', 'iq', 'hivi', 'unatoa', 'wapi', 'nguvu', 'ya', 'ku', 'smile', 'nya', 'kuwa', 'nya', 'furaha', 'jitathmini']",positive,1,ya(4.0)
"['cryptocurrency', 'imeleta', 'mabadiliko', 'makubwa', 'katika', 'jamii', 'kwa', 'njia', 'mbalimbali', 'zikiwemo', 'urahisi', 'wa', 'malipo', 'nya', 'biashara', 'cryptocurrencies', 'kama', 'bitcoin', 'nya', 'ethereum', 'hutoa', 'njia', 'mbadala', 'ya', 'malipo', 'hitaji', 'benki', 'au', 'taasisi', 'kifedha']",positive,1,ya(4.0)
"['contoh', 'bapebti', 'bilang', 'invest', 'bitcoin', 'orang', 'latah', 'entar', 'jibun', 'ngikut', 'trendsetter', 'bumn', 'konglomerat']",negative,-1,
"['gm', 'coba', 'bentar', 'durable', 'minus', 'hpi', 'consumer', 'confidence', 'jatuh', 'ulang', 'belanja', 'masyarakat', 'kurang', 'harga', 'rumah', 'percaya', 'masyarakat', 'ekonomi', 'baik', 'rendah', 'panik', 'perintah', 'bitcoin', 'rsi']",positive,1,"coba(2.0), minus(-3.0), jatuh(1.0), belanja(2.0), kurang(-3.0), harga(3.0), rumah(3.0), percaya(2.0), baik(3.0), rendah(-5.0), panik(-4.0)"
"['predict', 'orang', 'die', 'btc', 'analysis', 'h', 'cc', 'algotrade', 'nfa', 'amp', 'dyor']",negative,-1,die(-4.0)
"['yokai', 'avenger', 'btc', 'yokaiavengers']",negative,-1,
"['kg', 'gold', 'orang', 'bitcoin']",negative,-1,
"['njerae', 'lowkey', 'eats', 'bagging', 'rn', 'nikama', 'kubuy', 'bitcoin']",negative,-1,
"['trump', 'ganti', 'salah', 'dapat', 'negara', 'pajak', 'dapat', 'tariff', 'kayak', 'orang', 'kalah', 'saing', 'tariff', 'bayar', 'rakyat', 'negara', 'pengexpor', 'ekonomi', 'inflasi', 'bitcoin']",negative,-1,"ganti(3.0), salah(-4.0), dapat(2.0), pajak(-3.0), dapat(2.0), kayak(-3.0), kalah(-4.0), bayar(1.0)"
['laih'],negative,-1,
"['daleyrythm', 'fam']",negative,-1,
"['selamat', 'pagi', 'pagi', 'sui', 'alami', 'naik', 'ikut', 'icp', 'naik', 'jam', 'aset', 'kripto', 'nih', 'beli']",positive,1,"selamat(5.0), pagi(1.0), pagi(1.0), alami(-3.0), naik(1.0), ikut(-3.0), naik(1.0), beli(2.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['china', 'rilis', 'bitcoin']",positive,1,rilis(3.0)
"['sewa', 'rumah', 'bill', 'tnb', 'mining', 'bitcoin', 'pesan', 'kali', 'bayar', 'bill', 'member', 'cakap', 'byr', 'sikit', 'otak', 'sikit', 'sikit', 'accumulate', 'maaf', 'cakap', 'byr', 'bill', 'elok', 'report', 'polis', 'nak', 'potong', 'bill', 'umah', 'gelap', 'senyap', 'wasap', 'tunggu', 'februari', 'je']",positive,1,"rumah(3.0), pesan(2.0), bayar(1.0), cakap(2.0), sikit(-3.0), otak(3.0), sikit(-3.0), sikit(-3.0), maaf(2.0), cakap(2.0), potong(-2.0), gelap(-4.0), senyap(1.0), tunggu(1.0)"
"['new', 'tiktok', 'new', 'openai', 'new', 'bitcoin']",negative,-1,
"['bitcoin', 'lumayan', 'merosot', 'sih', 'garagara', 'deepseek', 'vs', 'ai', 'company', 'ai', 'si', 'sputnik', 'moment', 'cenah', 'haha', 'koh', 'yunepto', 'korelasi', 'tanya', 'valid', 'sih', 'saing', 'pasar', 'ai', 'langsung', 'ngaruh', 'harga', 'bitcoin']",positive,1,"lumayan(1.0), merosot(-5.0), tanya(2.0), langsung(3.0), harga(3.0)"
"['bitcoin', 'ekasi']",negative,-1,
"['told', 'lu', 'bitcoin', 'skem', 'bad', 'tech']",negative,-1,bad(-4.0)
"['salah', 'narasi', 'sebab', 'pesta', 'diskon', 'kali', 'deepseek', 'bagus', 'openai', 'bikin', 'llm', 'super', 'saing', 'mesin', 'nvidia', 'openai', 'dump', 'nvidia', 'dump', 'nvidia', 'dump', 'nasdaq', 'dump', 'nasdaq', 'dump', 'bitcoin', 'dump']",positive,1,"salah(-4.0), narasi(-4.0), sebab(3.0), pesta(4.0), diskon(2.0), bagus(2.0), super(3.0)"
"['pandang', 'rendah', 'konsep', 'open', 'source', 'zaman', 'blockchain', 'closed', 'source', 'xde', 'orang', 'pandang', 'bitcoin', 'blockchain', 'open', 'source', 'jaya', 'cipta', 'revolusi', 'peringkat', 'wang', 'sampai', 'politik', 'ai', 'proses', 'open', 'source']",negative,-1,"pandang(1.0), rendah(-5.0), open(-3.0), closed(-3.0), pandang(1.0), open(-3.0), jaya(4.0), sampai(2.0), politik(-1.0), proses(1.0), open(-3.0)"
"['bitcoin', 'waliosha', 'bro', 'karibu', 'jamaa', 'achukue', 'kamba']",negative,-1,
"['kayak', 'flashback', 'dump', 'china', 'ban', 'bitcoin', 'dump', 'ai', 'deepseek', 'china', 'fundamentally', 'bitcoin', 'change']",negative,-1,kayak(-3.0)
"['bitcoin', 'btcusd', 'kabar', 'gara', 'gara', 'sentimen', 'trump', 'tarif', 'kolombia', 'amp', 'deepseek', 'ai']",negative,-1,"kabar(2.0), gara(-4.0), gara(-4.0), sentimen(-3.0)"
"['bitcoin', 'aur', 'crypto', 'kyun', 'dump', 'ho', 'rahe', 'hain', 'btc', 'aur', 'large', 'caps', 'gir', 'gaye', 'hain', 'lekin', 'yeh', 'crypto', 'market', 'ki', 'wajah', 'nahi', 'balki', 'us', 'stock', 'market', 'dump', 'hone', 'ki', 'wajah', 'hai', 'ek', 'chinese', 'ai', 'startup', 'deepseek', 'jo', 'chatgpt', 'kak', 'competitor', 'hai', 'apple', 'store', 'pe', 'free', 'app', 'ban']",positive,1,"aur(-3.0), aur(-3.0), hai(3.0), hai(3.0), free(3.0)"
"['guru', 'matematika', 'matematika', 'sats', 'rp', 'rupiah', 'sats', 'rp', 'rupiah', 'bulan', 'rajab', 'sats', 'kali', 'rupiah', 'kah', 'rupiah', 'kah', 'nilai', 'bitcoin']",positive,1,"guru(3.0), bulan(-1.0), nilai(5.0)"
"['anmolrastogi', 'thirumagale', 'kaya', 'karu', 'kahaan', 'jaau']",negative,-1,"kaya(2.0), karu(-5.0)"
"['ajeebheart', 'hairypoppins', 'anmolrastogi', 'subah', 'ki', 'ram', 'ram', 'sabko']",negative,-1,
"['rutinitas', 'pagi', 'anak', 'stc', 'bangun', 'tidur', 'cek', 'tele', 'stc', 'tunggu', 'haka', 'entry', 'turu', 'cuan', 'repeat', 'profit', 'konsisten', 'signal', 'drop', 'telegram']",negative,-1,"pagi(1.0), anak(-3.0), tidur(3.0), cek(-4.0), tunggu(1.0), profit(4.0), drop(-3.0)"
"['senginur', 'bitcoin', 'deyerden', 'dushmur']",negative,-1,
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['yakuyoke', 'mag', 'cinephoto', 'art', 'bitcoin', 'mahalo', 'al', 'spot', 'dethreaper']",negative,-1,
"['gm', 'briefing', 'hafal', 'alas', 'bitcoin', 'tembus', 'claim', 'data', 'atas', 'forecast', 'minggu', 'ubah', 'cek', 'rrp', 'rsi', 'cpi', 'japan', 'suku', 'bunga', 'boj']",negative,-1,"tembus(3.0), claim(-3.0), data(-3.0), atas(-4.0), cek(-4.0), bunga(3.0)"
"['saylor', 'engage', 'teleport']",negative,-1,
"['bogdanoff', 'official', 'dump', 'bitcoin', 'want', 'get', 'access', 'ca', 'cjlizqn', 'vngyerhxrhohdchncrnw', 'cgygyslynyi', 'btc', 'dump']",negative,-1,
"['vp', 'research', 'riot', 'invest', 'xrp', 'dana', 'aksi', 'anti', 'bitcoin', 'lobi', 'politik']",positive,1,"dana(4.0), aksi(2.0), anti(-2.0), politik(-1.0)"
"['terjemah', 'halang', 'besar', 'strategic', 'bitcoin', 'reserve', 'ripple', 'xrp', 'agresif', 'lobi', 'politikus', 'banjir', 'uang', 'halang', 'sabar']",positive,1,"halang(-3.0), besar(4.0), banjir(4.0), halang(-3.0), sabar(5.0)"
"['cynthiamlummis', 'sabar', 'coded']",positive,1,sabar(5.0)
"['senator', 'cynthia', 'lummis', 'bitcoin', 'rezerv', 'aciklayacak']",negative,-1,
['kekek'],negative,-1,
"['bitcoin', 'satoshi', 'nakamoto', 'trust', 'satoshierctoken']",negative,-1,
"['ya', 'kuown', 'bitcoin', 'nih', 'kuuza', 'meno', 'yote', 'ya', 'tembo', 'tulikuwa', 'nayo', 'kwenye', 'ghala', 'letu', 'kuhifadhia', 'meno', 'hayo', 'ambayo', 'mpk', 'mwaka', 'tulikuwa', 'nya', 'tn', 'meno', 'hayo', 'ambayo', 'kwa', 'ghram', 'zake', 'nih', 'pound', 'kg', 'ambayo', 'jino', 'moja', 'linaweza', 'kuwa', 'nya', 'pound', 'mpk', 'kwa', 'tembo', 'mwanaume']",positive,1,"ya(4.0), ya(4.0), hayo(4.0), hayo(4.0)"
"['beli', 'juta', 'bitcoin', 'darimana', 'duit', 'perintah', 'amerika']",positive,1,"beli(2.0), juta(2.0)"
"['selamat', 'menang', 'tiktok', 'live', 'smarter', 'tahan', 'miliarder', 'edisi', 'bitcoin', 'trivia', 'menang', 'hubung', 'tim', 'email', 'resmi', 'social', 'media', 'indodax', 'terima', 'kasih', 'serta', 'partisipasi', 'tunggu', 'event', 'ya', 'stay']",positive,1,"selamat(5.0), menang(4.0), live(3.0), tahan(1.0), menang(4.0), hubung(1.0), tim(-4.0), resmi(2.0), terima(2.0), kasih(2.0), serta(2.0), partisipasi(3.0), tunggu(1.0), ya(4.0)"
"['ceo', 'blackrock', 'even', 'berani', 'prediksi', 'haha', 'milyar', 'bitcoin', 'every', 'ceo', 'bela', 'penting', 'nasabah', 'like', 'defend', 'users', 'coz', 'cari', 'nasabah', 'trust', 'gampang', 'omong', 'mulut', 'takes', 'time', 'reputation', 'rusak', 'susah']",positive,1,"prediksi(3.0), penting(3.0), nasabah(4.0), cari(-3.0), nasabah(4.0), gampang(4.0), omong(-4.0), mulut(-1.0), rusak(3.0), susah(-3.0)"
"['anlik', 'si']",negative,-1,
"['tren', 'bitcoin', 'minggu', 'january', 'dasar', 'prediksi', 'minggu', 'merah', 'libur', 'imlek', 'batas', 'transaksi', 'perintah', 'bursa', 'hasil', 'fomc', 'skenario', 'sesuai', 'prediksi', 'desember']",positive,1,"tren(-2.0), prediksi(3.0), merah(4.0), libur(3.0), batas(-3.0), transaksi(4.0), hasil(3.0), sesuai(3.0), prediksi(3.0)"
"['malam', 'claim', 'data', 'data', 'anggur', 'minggu', 'claim', 'data', 'dxy', 'turun', 'forecast', 'claim', 'data', 'bitcoin', 'malam', 'rrp', 'harap', 'turun', 'turun', 'cenderung', 'nol', 'arah', 'bareng', 'pidato', 'trump']",negative,-1,"malam(-1.0), claim(-3.0), data(-3.0), data(-3.0), anggur(-4.0), claim(-3.0), data(-3.0), turun(1.0), claim(-3.0), data(-3.0), malam(-1.0), harap(3.0), turun(1.0), turun(1.0), cenderung(-2.0), nol(-3.0), arah(1.0), bareng(3.0)"
"['thailand', 'uji', 'coba', 'bayar', 'pakai', 'bitcoin', 'turis', 'phuket', 'anda', 'berita', 'bal']",negative,-1,"uji(1.0), coba(2.0), bayar(1.0), anda(-4.0), berita(-4.0)"
"['bullrun', 'yes', 'bitcoin', 'market', 'top', 'coba', 'lihat', 'minggu', 'belakang', 'euphoria', 'dunia', 'crypto', 'pikir', 'cycle', 'altcoin', 'asih', 'return', 'cycle', 'cycle']",positive,1,"yes(3.0), top(5.0), coba(2.0), lihat(3.0), dunia(1.0), pikir(1.0), asih(3.0)"
"['chinesexiaolu', 'teh', 'chantokenio']",positive,1,teh(1.0)
"['gita', 'wirjawan', 'mantan', 'menteri', 'dagang', 'republik', 'indonesia', 'bilang', 'suka', 'bitcoin']",positive,1,"gita(2.0), mantan(-3.0), suka(3.0)"
"['price', 'target', 'bitcoin', 'gwirjawan', 'source']",negative,-1,
"['bitcoin', 'rp', 'miliar', 'prediksi', 'ceo', 'blackrock', 'larry', 'fink', 'lengkap']",positive,1,"prediksi(3.0), lengkap(2.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['bitcoin', 'halal', 'allahuakbar']",negative,-1,
"['gm', 'bitcoin', 'selow', 'kali', 'kali', 'turun', 'info', 'kemarin', 'normal', 'data', 'rrp', 'harap', 'turun', 'milyar', 'salah', 'rrp', 'claim', 'data', 'esok', 'pagi', 'jam', 'cpi', 'jepang', 'rsi', 'long']",negative,-1,"turun(1.0), info(-3.0), normal(1.0), data(-3.0), harap(3.0), turun(1.0), salah(-4.0), claim(-3.0), data(-3.0), esok(1.0), pagi(1.0)"
"['mezoteric', 'buy', 'fhrv', 'ckk', 'h', 'ombhfqhs', 'rn', 'gyhpoadwwrbrpump']",negative,-1,
"['ashcryptoreal', 'sabar', 'coming']",positive,1,sabar(5.0)
"['alex', 'luego', 'diran', 'perdi', 'bitcoin', 'perdi', 'etherium', 'perdi', 'solana', 'ya', 'perdi', 'mainnetz']",positive,1,ya(4.0)
"['pandang', 'market', 'alt', 'coin', 'mode', 'standby', 'alias', 'tunggu', 'bitcoin', 'dianalisa', 'analisa', 'percaya', 'bitcoin', 'juta', 'dollar']",positive,1,"pandang(1.0), tunggu(1.0), percaya(2.0), juta(2.0)"
"['bsr', 'bsr', 'bsr', 'bsr', 'bsr', 'bitcoin']",negative,-1,
"['thebitcoinconf', 'sabar', 'next']",positive,1,"sabar(5.0), next(-2.0)"
"['milik', 'depan', 'tuntut', 'bayar', 'elektrik', 'tnb', 'lepas', 'premis', 'sewa', 'jalan', 'giat', 'bitcoin', 'dawai', 'haram']",negative,-1,"milik(1.0), tuntut(-3.0), bayar(1.0), lepas(-2.0)"
['halal'],negative,-1,
"['cryptooady', 'namaste', 'let', 'respond', 'hindi', 'trump', 'ki', 'crypto', 'nahi', 'hai', 'lekin', 'unke', 'presidency', 'announcement', 'crypto', 'market', 'mein', 'kaafi', 'movement', 'aa', 'gaya', 'hai', 'bitcoin', 'pahunch', 'gaya', 'market', 'confidence', 'badhta', 'hai', 'jab', 'pro', 'crypto', 'administration', 'aata', 'hai']",positive,1,"hai(3.0), hai(3.0), hai(3.0), hai(3.0)"
"['ross', 'bebas', 'realrossu', 'bitcoiners', 'inspirasi', 'motivasi', 'cari', 'adil', 'video', 'getbasedtv', 'kinetic', 'finance']",negative,-1,"bebas(-4.0), inspirasi(-3.0), motivasi(3.0), cari(-3.0), adil(4.0)"
"['pantesan', 'akun', 'porno', 'dm', 'akun', 'jual', 'tipu', 'akun', 'sosmed', 'pelopor', 'edukasi', 'bitcoin', 'crypto', 'indonesia', 'incar']",negative,-1,"pantesan(-2.0), porno(-5.0), jual(1.0)"
